[1122/152910.077:ERROR:sandbox_policy_base.cc(351)] Failed to add sandbox rule. error = 2, subsystem = 0, semantics = 0, pattern = 'D:\thilo\Documents\Uni\Master\2. Semester\Projekt\Git\automotive-signal-fusion-interpreter\ASFI 3D View_clone_0\Assets\Vuplex\WebView\Standalone\Windows\Plugins\VuplexWebViewChromium\log-chromium.txt~'
[1122/152910.081:ERROR:sandbox_policy_base.cc(351)] Failed to add sandbox rule. error = 2, subsystem = 0, semantics = 0, pattern = 'D:\thilo\Documents\Uni\Master\2. Semester\Projekt\Git\automotive-signal-fusion-interpreter\ASFI 3D View_clone_0\Assets\Vuplex\WebView\Standalone\Windows\Plugins\VuplexWebViewChromium\log-chromium.txt~'
[1122/152910.084:ERROR:sandbox_policy_base.cc(351)] Failed to add sandbox rule. error = 2, subsystem = 0, semantics = 0, pattern = 'D:\thilo\Documents\Uni\Master\2. Semester\Projekt\Git\automotive-signal-fusion-interpreter\ASFI 3D View_clone_0\Assets\Vuplex\WebView\Standalone\Windows\Plugins\VuplexWebViewChromium\log-chromium.txt~'
[1122/152910.086:ERROR:sandbox_policy_base.cc(351)] Failed to add sandbox rule. error = 2, subsystem = 0, semantics = 0, pattern = 'D:\thilo\Documents\Uni\Master\2. Semester\Projekt\Git\automotive-signal-fusion-interpreter\ASFI 3D View_clone_0\Assets\Vuplex\WebView\Standalone\Windows\Plugins\VuplexWebViewChromium\log-chromium.txt~'
[1122/152910.088:ERROR:sandbox_policy_base.cc(351)] Failed to add sandbox rule. error = 2, subsystem = 0, semantics = 0, pattern = 'D:\thilo\Documents\Uni\Master\2. Semester\Projekt\Git\automotive-signal-fusion-interpreter\ASFI 3D View_clone_0\Assets\Vuplex\WebView\Standalone\Windows\Plugins\VuplexWebViewChromium\log-chromium.txt~'
[1122/152910.092:ERROR:sandbox_policy_base.cc(351)] Failed to add sandbox rule. error = 2, subsystem = 0, semantics = 0, pattern = 'D:\thilo\Documents\Uni\Master\2. Semester\Projekt\Git\automotive-signal-fusion-interpreter\ASFI 3D View_clone_0\Assets\Vuplex\WebView\Standalone\Windows\Plugins\VuplexWebViewChromium\log-chromium.txt~'
[1122/163958.514:ERROR:sandbox_policy_base.cc(351)] Failed to add sandbox rule. error = 2, subsystem = 0, semantics = 0, pattern = 'D:\thilo\Documents\Uni\Master\2. Semester\Projekt\Git\automotive-signal-fusion-interpreter\ASFI 3D View_clone_0\Assets\Vuplex\WebView\Standalone\Windows\Plugins\VuplexWebViewChromium\log-chromium.txt~'
[1122/163958.760:ERROR:sandbox_policy_base.cc(351)] Failed to add sandbox rule. error = 2, subsystem = 0, semantics = 0, pattern = 'D:\thilo\Documents\Uni\Master\2. Semester\Projekt\Git\automotive-signal-fusion-interpreter\ASFI 3D View_clone_0\Assets\Vuplex\WebView\Standalone\Windows\Plugins\VuplexWebViewChromium\log-chromium.txt~'
[1122/163958.768:ERROR:sandbox_policy_base.cc(351)] Failed to add sandbox rule. error = 2, subsystem = 0, semantics = 0, pattern = 'D:\thilo\Documents\Uni\Master\2. Semester\Projekt\Git\automotive-signal-fusion-interpreter\ASFI 3D View_clone_0\Assets\Vuplex\WebView\Standalone\Windows\Plugins\VuplexWebViewChromium\log-chromium.txt~'
[1122/163958.771:ERROR:sandbox_policy_base.cc(351)] Failed to add sandbox rule. error = 2, subsystem = 0, semantics = 0, pattern = 'D:\thilo\Documents\Uni\Master\2. Semester\Projekt\Git\automotive-signal-fusion-interpreter\ASFI 3D View_clone_0\Assets\Vuplex\WebView\Standalone\Windows\Plugins\VuplexWebViewChromium\log-chromium.txt~'
[1122/163958.789:ERROR:sandbox_policy_base.cc(351)] Failed to add sandbox rule. error = 2, subsystem = 0, semantics = 0, pattern = 'D:\thilo\Documents\Uni\Master\2. Semester\Projekt\Git\automotive-signal-fusion-interpreter\ASFI 3D View_clone_0\Assets\Vuplex\WebView\Standalone\Windows\Plugins\VuplexWebViewChromium\log-chromium.txt~'
[1122/163958.796:ERROR:sandbox_policy_base.cc(351)] Failed to add sandbox rule. error = 2, subsystem = 0, semantics = 0, pattern = 'D:\thilo\Documents\Uni\Master\2. Semester\Projekt\Git\automotive-signal-fusion-interpreter\ASFI 3D View_clone_0\Assets\Vuplex\WebView\Standalone\Windows\Plugins\VuplexWebViewChromium\log-chromium.txt~'
[1122/163958.802:ERROR:sandbox_policy_base.cc(351)] Failed to add sandbox rule. error = 2, subsystem = 0, semantics = 0, pattern = 'D:\thilo\Documents\Uni\Master\2. Semester\Projekt\Git\automotive-signal-fusion-interpreter\ASFI 3D View_clone_0\Assets\Vuplex\WebView\Standalone\Windows\Plugins\VuplexWebViewChromium\log-chromium.txt~'
[1122/163958.808:ERROR:sandbox_policy_base.cc(351)] Failed to add sandbox rule. error = 2, subsystem = 0, semantics = 0, pattern = 'D:\thilo\Documents\Uni\Master\2. Semester\Projekt\Git\automotive-signal-fusion-interpreter\ASFI 3D View_clone_0\Assets\Vuplex\WebView\Standalone\Windows\Plugins\VuplexWebViewChromium\log-chromium.txt~'
[1122/163958.810:ERROR:sandbox_policy_base.cc(351)] Failed to add sandbox rule. error = 2, subsystem = 0, semantics = 0, pattern = 'D:\thilo\Documents\Uni\Master\2. Semester\Projekt\Git\automotive-signal-fusion-interpreter\ASFI 3D View_clone_0\Assets\Vuplex\WebView\Standalone\Windows\Plugins\VuplexWebViewChromium\log-chromium.txt~'
[1122/163958.812:ERROR:sandbox_policy_base.cc(351)] Failed to add sandbox rule. error = 2, subsystem = 0, semantics = 0, pattern = 'D:\thilo\Documents\Uni\Master\2. Semester\Projekt\Git\automotive-signal-fusion-interpreter\ASFI 3D View_clone_0\Assets\Vuplex\WebView\Standalone\Windows\Plugins\VuplexWebViewChromium\log-chromium.txt~'
[1122/163958.815:ERROR:sandbox_policy_base.cc(351)] Failed to add sandbox rule. error = 2, subsystem = 0, semantics = 0, pattern = 'D:\thilo\Documents\Uni\Master\2. Semester\Projekt\Git\automotive-signal-fusion-interpreter\ASFI 3D View_clone_0\Assets\Vuplex\WebView\Standalone\Windows\Plugins\VuplexWebViewChromium\log-chromium.txt~'
[1122/163958.818:ERROR:sandbox_policy_base.cc(351)] Failed to add sandbox rule. error = 2, subsystem = 0, semantics = 0, pattern = 'D:\thilo\Documents\Uni\Master\2. Semester\Projekt\Git\automotive-signal-fusion-interpreter\ASFI 3D View_clone_0\Assets\Vuplex\WebView\Standalone\Windows\Plugins\VuplexWebViewChromium\log-chromium.txt~'
[1122/163958.820:ERROR:sandbox_policy_base.cc(351)] Failed to add sandbox rule. error = 2, subsystem = 0, semantics = 0, pattern = 'D:\thilo\Documents\Uni\Master\2. Semester\Projekt\Git\automotive-signal-fusion-interpreter\ASFI 3D View_clone_0\Assets\Vuplex\WebView\Standalone\Windows\Plugins\VuplexWebViewChromium\log-chromium.txt~'
[1122/163958.824:ERROR:sandbox_policy_base.cc(351)] Failed to add sandbox rule. error = 2, subsystem = 0, semantics = 0, pattern = 'D:\thilo\Documents\Uni\Master\2. Semester\Projekt\Git\automotive-signal-fusion-interpreter\ASFI 3D View_clone_0\Assets\Vuplex\WebView\Standalone\Windows\Plugins\VuplexWebViewChromium\log-chromium.txt~'
